Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
LAKE,KARNATAKA,27,30,1.5,6.9,6.9,7.8,607,1726,4,16,0.8,14.6,1100,2600000,17200,22100000,2017
LAKE,KARNATAKA,25.3,29,1.5,6.2,6.8,8.7,544,1206,2,19,0.7,3,1400,120000,5420,1720000,2017
LAKE,KARNATAKA,25.1,29,3.7,6.5,6.2,8.6,425,1179,3,12,1,3.3,700,790000,2210,1720000,2017
LAKE,KARNATAKA,25,29,5,6.9,6.4,8.7,588,1540,2,10.5,1,14.3,270,490000,2210,1720000,2017
LAKE,KARNATAKA,25.2,29,3.3,5.8,6.7,8.5,547,1307,3,145,1,8,3300,790000,10900,5420000,2017
LAKE,KARNATAKA,27,30,0.3,5.9,6.5,7.3,218,2610,6,300,1.2,10.88,21000,3300000,120000,7900000,2017
LAKE,KARNATAKA,27,30,3.5,10.2,6.8,7.8,552,1400,3,11,0.85,8.81,1700,700000,10900,1410000,2017
LAKE,KARNATAKA,28,32,2.2,11.3,7,9.4,539,1832,4,24,0.32,11.6,1700,490000,7900,5420000,2017
LAKE,KARNATAKA,23,35,2.5,6.4,7,8.9,224,3020,3,37.5,0.38,6.8,110,79000,1200,130000,2017
LAKE,KARNATAKA,23,35,1.1,6.3,6.6,9.4,185,1832,2,26,0.8,4.55,220,14000,3480,542000,2017
LAKE,KARNATAKA,24,25,6,7.5,6.6,8.1,206,922,2,5,0.45,1.5,790,3300,3480,17200,2017
LAKE,KARNATAKA,24,25,6.4,6.6,6.8,7.0,155,155,2,4,2,4.1,490,4900,3480,54200,2017
LAKE,KARNATAKA,24,31,5.4,7.7,6.8,8.0,121,276,3,3,0.18,1.99,170,7900,1090,34800,2017
TANK,KARNATAKA,28,32,6,7,6.7,7.6,133,290,1,3,0.18,2.3,2,350,5,1600,2017
TANK,KARNATAKA,22,31,5.2,7,7.1,8.6,417,959,3.6,8.4,0.08,3.8,700,1700,4000,6300,2017
TANK,KARNATAKA,27,30,3.4,7.3,7,8.4,446,1236,2.5,15,0.8,10.2,1400,490000,13000,1300000,2017
TANK,KARNATAKA,21,34,4,13.5,6.5,8.2,380,701,3,10,0.45,4.79,490,940000,2400,2210000,2017
TANK,KARNATAKA,25,28,5,7.5,6.6,8.2,411,684,3,10,0.5,3,2600,17000,10900,542000,2017
TANK,KARNATAKA,28,36,4.6,9.3,6.7,7.5,430,687,3,15,0.8,16,330,49000,700,348000,2017
TANK,KARNATAKA,24,28,4.5,7.1,6.9,8.0,109,1791,3,6,0.2,4.14,3300,27000,27800,172000,2017
TANK,KARNATAKA,25,28,2.2,7.3,6.7,8.0,390,1267,3,4,1,3.99,2200,46000,10900,542000,2017
TANK,KARNATAKA,25,29,0.7,12.5,6.8,8.7,448,1610,3,150,1,9,230,220000,5420,1720000,2017
TANK,KARNATAKA,25,34,0.4,7,6.7,7.7,1442,4950,5,125,2.02,13,330,490000,1410,2210000,2017
TANK,KARNATAKA,27,33,3.7,6.4,7,7.6,648,1795,4,32,1.2,11.4,17000,46000000,12000,70000000,2017
TANK,KARNATAKA,25,29,3.5,5.8,6.5,8.2,648,3340,3,29,0.9,4.15,11000,390000,79000,5420000,2017
TANK,KARNATAKA,26,32,3.9,4.6,6.8,7.6,641,2180,4,18,1.3,12,10900,3900000,13000,34500000,2017
TANK,KARNATAKA,25,29,3.5,14.6,6.7,9.0,304,1427,3,18,0,2.13,330,170000,790,1090000,2017
TANK,KARNATAKA,25.2,29,4.5,9,6.8,7.7,575,1550,2,45,0.68,2.5,2100,1300000,9400,3480000,2017
TANK,KARNATAKA,28,35,4.6,9.5,6.8,7.5,546,1481,3,8,0.2,8.29,790,49000,3480,141000,2017
TANK,KARNATAKA,20,30,3.2,10.4,5.9,9.0,538,1557,3,30,0.1,11.42,260,490000,22000,3480000,2017
TANK,KARNATAKA,28,32,2.4,9.8,5.9,9.7,724,1299,4,23,0.76,7,490,172000,790,542000,2017
TANK,KARNATAKA,22,28,5,8,6.6,8.0,369,1965,3,11,0,2.01,1700,220000,7900,1090000,2017
TANK,KARNATAKA,25.2,34.8,4,9.2,6.6,8.0,339,778,3,80,0.46,5.24,170,330000,5420,790000,2017
TANK,KARNATAKA,24.8,33,0.2,7.2,6.9,8.2,1147,2340,3,32,2.2,10.78,49000,7900000,79000,22100000,2017
TANK,KARNATAKA,23.8,31,0.5,7.4,6.7,8.3,562,1747,3.6,20,0,19.4,17000,1700000,109000,7900000,2017
TANK,KARNATAKA,23,26,4.1,8.2,7.1,7.6,252,317,3,4,0.59,1.58,26000,330000,172000,1090000,2017
TANK,KARNATAKA,34.7,34.7,0.6,0.6,6.8,6.8,3030,3030,120,120,6,6,40000,40000,278000,278000,2017
TANK,KARNATAKA,23.8,34.7,2.6,9.2,6.5,8.8,286,1318,3,138,0.6,5.7,220,940000,1300,3450000,2017
TANK,KARNATAKA,24.6,34.5,2.2,12.6,6.5,9.3,461,886,4,54,1.05,6.3,140,330000,1090,700000,2017
TANK,KARNATAKA,24,29,3.1,5.1,6.6,7.7,771,3200,3,54,1,7,1100,49000000,7900,109000000,2017
TANK,KARNATAKA,22,32,4.6,7.8,7.2,8.1,255,524,3,5,0.28,4.5,270,14000,5420,34800,2017
TANK,KARNATAKA,24,31,0.8,6.4,7,8.2,804,2380,3,54,0.33,19.6,1100,109000,7900,542000,2017
TANK,KARNATAKA,24,31,1.8,5.6,6.8,7.7,728,2290,3,93,2.1,19.78,1400,330000,10900,700000,2017
TANK,KARNATAKA,24,33,4.7,7.5,6.6,7.7,195,690,3,5,0,4,490,10900,790,34800,2017
TANK,KARNATAKA,24,34,2.1,7.4,6.6,7.7,365,5510,3,58,0.27,8,210,79000,2400,542000,2017
TANK,KARNATAKA,24,30,6.7,10.2,7.9,9.2,10,1300,3,6,0.2,0.6,390,7000,2100,24000,2017
TANK,KARNATAKA,24,31,6.8,8.9,7.9,9.1,10,1240,4.2,6,0.23,0.46,940,11000,2800,35000,2017
TANK,KARNATAKA,24,29,6.2,8.4,7.6,8.9,620,1430,3,5,0.14,0.36,270,1100,2800,5400,2017
TANK,KARNATAKA,25,25,5.1,5.5,7.6,8.0,440,490,3,3,0.13,0.17,270,390,2200,2800,2017
TANK,KARNATAKA,25,26,5.4,52,7.7,8.0,400,440,2,2,0.12,0.13,210,380,2200,2800,2017
TANK,KARNATAKA,26,30,6,7.2,7.2,8.8,992,2010,11,23,0,0,240,1000,900,3200,2017
TANK,KARNATAKA,25,34,6.7,9.7,7.4,8.4,460,1380,0.5,39,0.8,2.62,110,1800,170,3200,2017
TANK,KARNATAKA,24,36,5.3,8.8,7.5,8.0,340,580,1,3.4,0.16,1.61,900,5000,1600,9000,2017
TANK,KARNATAKA,24,32,1.4,8.4,6.5,9.1,480,5700,16.5,41.3,0.48,2.4,1800,9000,3200,16000,2017
TANK,KARNATAKA,24,33,5.8,10.4,8.1,9.1,400,5800,2.2,16.2,0.58,5.6,560,5000,1600,9000,2017
TANK,KARNATAKA,25,27,3.1,4.2,6.9,8.2,530,2210,23.1,165.5,0.51,6.01,275,900,1800,1800,2017
TANK,KARNATAKA,26,28,7.1,7.4,7.7,9.6,972,1453,3.2,6.5,0.48,3.53,70,550,175,1800,2017
TANK,KARNATAKA,26,28,6.1,6.6,7.6,8.6,830,2460,4.4,14.1,0.86,2.58,20,550,110,1800,2017
TANK,KARNATAKA,26,29,7,7.6,7.2,8.5,560,790,3,6.8,0.33,1.85,17,130,80,350,2017
TANK,KARNATAKA,25,28,6.1,6.9,7.6,9.0,696,1534,3.4,8.6,0.31,2.43,50,350,140,1800,2017
TANK,KARNATAKA,27,28,6.3,7.6,7.3,9.4,566,1358,3.9,8.6,0.25,2.6,25,550,140,1800,2017
TANK,KARNATAKA,25,28,5.9,6.5,7.3,8.6,778,1230,4.7,13.7,0.12,3.63,130,900,550,1800,2017
TANK,KARNATAKA,26,29,6.6,7.3,7.6,8.5,1213,2050,3.6,8,0.69,4.42,110,1600,350,1800,2017
TANK,KARNATAKA,25,30,5.9,7.5,7.2,8.3,90,160,2,3,0,1.2,50,1300,140,3000,2017
TANK,KARNATAKA,25,30,5.6,7.4,7.1,8.4,120,290,2.3,3,0,1.4,60,500,170,1600,2017
TANK,KARNATAKA,25,30,4.2,7.3,7.4,8.4,280,1520,5,112,0,6.3,1200,100000,3400,180000,2017
TANK,KARNATAKA,26,34,5.5,7.6,7.6,8.3,130,204,2.5,4,0,0.35,460,2200,1400,5000,2017
TANK,KARNATAKA,25,27,5.3,7.1,7.1,7.7,140,290,3,5.3,0,0.19,800,9000,2400,16000,2017
TANK,KARNATAKA,25,30,4,7,7.3,9.0,520,1940,16,360,0,4.8,44000,900000,90000,1600000,2017
TANK,KARNATAKA,24.5,27,2,5.4,7.7,8.3,350,490,5,9,0,1.93,1100,5000,3000,9000,2017
LAKE,KERALA,30,33,4,6.6,6.6,6.9,387,733,3,14,0,1.2,650,1200,1640,3100,2017
LAKE,KERALA,24,28,4.3,7.1,6.5,6.9,110,164,1,2.6,0.28,1.2,100,140,220,380,2017
LAKE,KERALA,20,28,5.7,6.8,6.8,7.6,18796,30000,1.4,2.4,0.43,1.8,160,340,480,680,2017
LAKE,KERALA,23,30,5.3,7.2,6.9,7.6,20100,27000,1.2,2.8,0.41,1.8,120,320,400,580,2017
LAKE,KERALA,27,33,3.2,7.9,6.7,8.0,1229,54170,0.6,3.9,0.24,1.23,310,17000,760,70000,2017
LAKE,KERALA,26,28,1.5,7.4,6.7,7.5,34,81,0.1,0.4,0,2.35,2,800,2,2800,2017
LAKE,KERALA,27,30,4.5,7,6.8,7.9,1655,55450,0.7,3.7,0.23,0.78,400,94000,470,120000,2017
LAKE,KERALA,28,29.5,3.2,7.8,7.2,7.8,1126,51200,0.9,4.1,0,0.58,100,400,240,630,2017
LAKE,KERALA,26,30,3.8,7.8,6.8,7.5,168,18500,1,6,0.05,0.5,140,340,240,640,2017
LAKE,KERALA,27.1,28.4,5.1,6.9,6.3,8.0,25,33,0.5,2.1,0.05,0.18,4,32,8,108,2017
LAKE,KERALA,26,29.5,4.8,8.8,6.9,7.7,182,22810,0.7,3,0.05,0.3,100,220,200,360,2017
LAKE,KERALA,24,32,5.5,8.7,6.5,7.6,35,6052,0.2,2.7,0.06,0.57,4,560,40,1340,2017
LAKE,KERALA,27,30,1.2,10.1,7,8.1,89,186,0.5,8.4,0.03,0.96,2,294,2,360,2017
LAKE,KERALA,26,29.7,6.6,7.8,6.5,7.1,22,40,0.7,1.8,0.02,600.73,150,6300,4,7900,2017
LAKE,KERALA,27,29.8,6.7,8,6.5,7.4,20,35,0.4,1.9,0.01,0.25,2,49000,17,79000,2017
LAKE,KERALA,30,33,5.9,7.1,6.2,6.8,98,217,0.5,2.2,0,0.05,220,460,620,940,2017
POND,KERALA,30,33,5.9,6.8,6.6,8.3,79,210,1.3,2,0,0.5,110,270,320,510,2017
POND,KERALA,21,32,5.5,8.2,7,8.2,77,110,0,1.8,0,0.31,2,500,2,900,2017
LAKE,MADHYA PRADESH,18,29,7.5,8.3,7.6,8.4,223,292,1.5,19.9,0,3.82,2,2,90,1600,2017
LAKE,MADHYA PRADESH,18,29,6.2,8.7,7.4,8.3,336,492,3.1,3.7,0,11.6,20,240,190,1600,2017
LAKE,MADHYA PRADESH,2.9,29,7.2,8.1,7.4,8.1,176,432,1.2,2.8,0,2.72,2,2,90,910,2017
LAKE,MADHYA PRADESH,18.8,21.5,7.2,7.8,7.1,8.4,142,414,0.7,3.1,0.3,0.92,2,15,17,46,2017
LAKE,MADHYA PRADESH,18,21,6.3,7.8,7.2,8.4,173,466,0.8,2,0.3,0.97,2,10,21,48,2017
LAKE,MADHYA PRADESH,19,32,4.8,7.9,7.5,8.7,499,1012,1.1,2.4,0.73,2.5,2,2,33,110,2017
LAKE,MADHYA PRADESH,19,32,4.6,7.2,7.3,8.4,371,840,1.2,2.8,0.43,5.24,2,40,40,140,2017
LAKE,MADHYA PRADESH,19,32,3.9,7.8,7.7,8.9,330,644,1.2,4.4,0.89,1.9,2,2,23,90,2017
LAKE,MADHYA PRADESH,21,32,6.4,7.7,7.2,8.8,294,557,1.4,2,0.78,1.61,2,2,40,90,2017
LAKE,MADHYA PRADESH,24,32,6.5,7.4,7.2,7.7,0,522,1.2,1.8,1.55,5.86,2,17,21,70,2017
LAKE,MADHYA PRADESH,19,34,5.5,7.6,7.3,8.8,526,677,3.1,3.8,0,15.85,12,230,920,1600,2017
LAKE,MADHYA PRADESH,19,29,7.5,8.4,7.5,8.6,218,322,1.5,2.2,0,2.21,2,2,94,1600,2017
LAKE,MADHYA PRADESH,21,29,7.5,8.2,7.5,8.5,211,296,1.7,2.6,0,1.91,2,2,90,230,2017
LAKE,MADHYA PRADESH,17,29,7.3,8.8,7.8,8.6,228,293,1.5,2.7,0,2.06,2,2,90,1600,2017
LAKE,MADHYA PRADESH,6,30,6.9,8.1,7.6,8.5,193,278,1.2,2.5,0,0.4,2,2,34,210,2017
LAKE,MADHYA PRADESH,18,29,7.1,7.8,7.5,8.3,160,396,2.1,2.5,0,2.03,2,8,90,350,2017
LAKE,MADHYA PRADESH,20,30,6.4,7.8,7.8,8.6,308,609,1,1.9,0,1.87,2,2,40,60,2017
POND,MADHYA PRADESH,22,26,4.6,7,7.1,8.0,552,814,2.4,4.8,0.84,2.03,9,500,7,1600,2017
POND,MADHYA PRADESH,24,24,7,8.2,7.5,7.9,280,522,2,3,0,2.34,4,12,34,80,2017
POND,MADHYA PRADESH,18,23,6.9,7.9,7.1,8.7,360,634,3.1,5.4,0.3,1.8,2,110,46,920,2017
POND,MADHYA PRADESH,19,24,3.7,7.8,6.5,8.2,320,765,3.2,5,0.3,11,10,220,63,1600,2017
POND,MADHYA PRADESH,16,24,4.1,7.7,7.4,8.9,350,1384,1.9,5.8,0.3,3.4,2,150,46,1600,2017
POND,MADHYA PRADESH,19,31.5,2.6,7.7,7.6,8.5,8,1108,1.4,8,0.95,6.37,2,2,50,500,2017
POND,MADHYA PRADESH,22.6,33,6.1,7.3,7.2,7.7,10,508,1.3,2.2,1.41,6.21,2,11,21,50,2017
POND,MADHYA PRADESH,19,28,6.4,8.3,7.4,7.7,270,516,1.2,1.6,0.08,2.02,2,2,8,26,2017
POND,MADHYA PRADESH,18,22.1,6.2,7.6,7.1,7.8,382,1340,2.8,10,0.34,4.8,2,150,41,710,2017
POND,MADHYA PRADESH,19,22.6,6.3,7.5,7.2,8.2,270,834,2,3.9,0.34,1.8,2,120,40,430,2017
POND,MADHYA PRADESH,20,31,6.3,7.6,7.7,8.7,270,580,0.8,210,0,1.67,2,2,33,110,2017
POND,MADHYA PRADESH,22,31.5,4.7,7.5,7.5,8.7,373,660,1.2,2.8,0.63,1.66,2,2,50,90,2017
LAKE,MEGHALAYA,16,25,5,6.8,6.9,7.7,8,177,3.8,6.5,0.35,1.31,1200,3200,2600,5000,2017
LAKE,MEGHALAYA,13,27,6,8.6,6.9,7.6,132,198,2.5,8,0.22,1.08,610,2200,2200,3500,2017
LAKE,MEGHALAYA,15,23,6.4,7.3,6.9,7.5,38,59,1.5,2.5,0.02,0.44,8,31,24,70,2017
LAKE,MEGHALAYA,16,24,3.5,6.6,6.8,8.4,83,247,4.2,11,0.25,3.5,1400,3600,3300,5800,2017
LAKE,MEGHALAYA,12,25,4.4,6.8,7.1,8.3,75,174,3.5,6.2,0.3,1.47,1100,3000,2400,4800,2017
LAKE,MEGHALAYA,16,25,5.6,6.8,6.9,8.0,74,180,3.2,6.6,0.11,1.47,1100,2900,2300,4900,2017
LAKE,MEGHALAYA,15,28,0.3,7.6,6.7,7.5,48,94,1.5,2.4,0.28,0.42,6,38,14,79,2017
LAKE,ODISHA,22,33,5.3,8.3,7.2,8.5,7086,59110,0.9,2.6,0.13,1.95,2,5400,2,9200,2017
